char,simplified,aliases,glyph_id,note
的,,的,cs1_p01_c01_r01,
一,,一,cs1_p01_c02_r01,manual-review
了,,了,cs1_p01_c03_r01,
是,,是,cs1_p01_c04_r01,
不,,不,cs1_p01_c05_r01,
我,,我,cs1_p01_c06_r01,
這,,這,cs1_p01_c01_r02,
在,,在,cs1_p01_c02_r02,
人,,人,cs1_p01_c03_r02,
有,,有,cs1_p01_c04_r02,
他,,他,cs1_p01_c05_r02,
來,,來,cs1_p01_c06_r02,
個,,個,cs1_p01_c01_r03,
道,,道,cs1_p01_c02_r03,
你,,你,cs1_p01_c03_r03,
大,,大,cs1_p01_c04_r03,
到,,到,cs1_p01_c05_r03,
就,,就,cs1_p01_c06_r03,
上,,上,cs1_p01_c01_r04,
們,,們,cs1_p01_c02_r04,
那,,那,cs1_p01_c03_r04,
也,,也,cs1_p01_c04_r04,
説,,説,cs1_p01_c05_r04,
么,,么,cs1_p01_c06_r04,
下,,下,cs1_p01_c01_r05,
出,,出,cs1_p01_c02_r05,
,,,cs1_p01_c03_r05,
地,,地,cs1_p01_c04_r05,
然,,然,cs1_p01_c05_r05,
中,,中,cs1_p01_c06_r05,
看,,看,cs1_p01_c01_r06,
時,,時,cs1_p01_c02_r06,
要,,要,cs1_p01_c03_r06,
没,没,没|沒,cs1_p01_c04_r06,
天,,天,cs1_p01_c05_r06,
過,,過,cs1_p01_c06_r06,
可,,可,cs1_p01_c01_r07,
自,,自,cs1_p01_c02_r07,
子,,子,cs1_p01_c03_r07,
能,,能,cs1_p01_c04_r07,
還,,還,cs1_p01_c05_r07,
之,,之,cs1_p01_c06_r07,
以,,以,cs1_p01_c01_r08,
去,,去,cs1_p01_c02_r08,
好,,好,cs1_p01_c03_r08,
后,后,后|後,cs1_p01_c04_r08,
後,,後,cs1_p01_c05_r08,
為,,為,cs1_p01_c06_r08,
都,,都,cs1_p01_c01_r09,
會,,會,cs1_p01_c02_r09,
心,,心,cs1_p01_c03_r09,
得,,得,cs1_p01_c04_r09,
里,里,里|裡,cs1_p01_c05_r09,
裹,,裹,cs1_p01_c06_r09,
裡,,裡,cs1_p01_c01_r10,
對,,對,cs1_p01_c02_r10,
有,,有,cs1_p01_c03_r10,
手,,手,cs1_p01_c04_r10,
起,,起,cs1_p01_c05_r10,
小,,小,cs1_p01_c06_r10,
想,,想,cs1_p01_c01_r11,
只,,只,cs1_p01_c02_r11,
只,,只,cs1_p01_c03_r11,manual-review
而,,而,cs1_p01_c04_r11,
和,,和,cs1_p01_c05_r11,
頭,,頭,cs1_p01_c06_r11,
她,,她,cs1_p01_c01_r12,
无,无,无|無,cs1_p01_c02_r12,
無,,無,cs1_p01_c03_r12,
力,,力,cs1_p01_c04_r12,
面,,面,cs1_p01_c05_r12,
面,,面,cs1_p01_c06_r12,manual-review
已,,已,cs1_p01_c01_r13,
如,,如,cs1_p01_c02_r13,
什,,什,cs1_p01_c03_r13,
現,,現,cs1_p01_c04_r13,
多,,多,cs1_p01_c05_r13,
樣,,樣,cs1_p01_c06_r13,
已,,已,cs1_p01_c01_r14,
知,,知,cs1_p01_c02_r14,
些,,些,cs1_p01_c03_r14,
聲,,聲,cs1_p01_c04_r14,
經,,經,cs1_p01_c05_r14,
前,,前,cs1_p01_c06_r14,
神,,神,cs1_p01_c01_r15,
笑,,笑,cs1_p01_c02_r15,
事,,事,cs1_p01_c03_r15,
開,,開,cs1_p01_c04_r15,
點,,點,cs1_p01_c05_r15,
方,,方,cs1_p01_c06_r15,
眼,,眼,cs1_p01_c01_r16,
髪,,髪,cs1_p01_c02_r16,
發,,發,cs1_p01_c03_r16,
所,,所,cs1_p01_c04_r16,
但,,但,cs1_p01_c05_r16,
氣,,氣,cs1_p01_c06_r16,
法,,法,cs1_p01_c01_r17,
意,,意,cs1_p01_c02_r17,
情,,情,cs1_p01_c03_r17,
生,,生,cs1_p01_c04_r17,
丙,,丙,cs1_p01_c05_r17,manual-review
家,,家,cs1_p01_c06_r17,
傢,,傢,cs1_p01_c01_r18,
间,间,间|間,cs1_p01_c02_r18,manual-review
將,,將,cs1_p01_c03_r18,
很,,很,cs1_p01_c04_r18,
真,,真,cs1_p01_c05_r18,
話,,話,cs1_p01_c06_r18,
成,,成,cs1_p01_c01_r19,
让,让,让|讓,cs1_p01_c02_r19,manual-review
老,,老,cs1_p01_c03_r19,
被,,被,cs1_p01_c04_r19,
動,,動,cs1_p01_c05_r19,
,,,cs1_p01_c06_r19,manual-review-cleared
當,,當,cs1_p01_c01_r20,
用,,用,cs1_p01_c02_r20,
于,于,于|於,cs1_p01_c03_r20,
於,,於,cs1_p01_c04_r20,
見,,見,cs1_p01_c05_r20,
回,,回,cs1_p01_c06_r20,
回,,回,cs1_p02_c01_r01,manual-review
又,,又,cs1_p02_c02_r01,
軍,,軍,cs1_p02_c03_r01,
把,,把,cs1_p02_c04_r01,
此,,此,cs1_p02_c05_r01,
才,,才,cs1_p02_c06_r01,
缠,缠,缠|纏,cs1_p02_c01_r02,manual-review
几,,几,cs1_p02_c02_r02,
几,,几,cs1_p02_c03_r02,manual-review
正,,正,cs1_p02_c04_r02,
战,战,战|戰,cs1_p02_c05_r02,manual-review
明,,明,cs1_p02_c06_r02,
却,却,却|卻,cs1_p02_c01_r03,manual-review
龍,,龍,cs1_p02_c02_r03,
从,从,从|從,cs1_p02_c03_r03,manual-review
十,,十,cs1_p02_c04_r03,manual-review
三,,三,cs1_p02_c05_r03,
長,,長,cs1_p02_c06_r03,
女,,女,cs1_p02_c01_r04,
光,,光,cs1_p02_c02_r04,
再,,再,cs1_p02_c03_r04,
向,,向,cs1_p02_c04_r04,
鄉,,鄉,cs1_p02_c05_r04,
實,,實,cs1_p02_c06_r04,
最,,最,cs1_p02_c01_r05,
行,,行,cs1_p02_c02_r05,
高,,高,cs1_p02_c03_r05,
本,,本,cs1_p02_c04_r05,
打,,打,cs1_p02_c05_r05,
風,,風,cs1_p02_c06_r05,
進,,進,cs1_p02_c01_r06,
定,,定,cs1_p02_c02_r06,
魔,,魔,cs1_p02_c03_r06,
給,,給,cs1_p02_c04_r06,
問,,問,cs1_p02_c05_r06,
色,,色,cs1_p02_c06_r06,
國,,國,cs1_p02_c01_r07,
同,,同,cs1_p02_c02_r07,
走,,走,cs1_p02_c03_r07,
其,,其,cs1_p02_c04_r07,
種,,種,cs1_p02_c05_r07,
年,,年,cs1_p02_c06_r07,
口,,口,cs1_p02_c01_r08,
边,边,边|邊,cs1_p02_c02_r08,manual-review
王,,王,cs1_p02_c03_r08,
怎,,怎,cs1_p02_c04_r08,
次,,次,cs1_p02_c05_r08,
白,,白,cs1_p02_c06_r08,
全,,全,cs1_p02_c01_r09,
吧,,吧,cs1_p02_c02_r09,
兒,,兒,cs1_p02_c03_r09,
感,,感,cs1_p02_c04_r09,
果,,果,cs1_p02_c05_r09,
听,,听,cs1_p02_c06_r09,
听,,听,cs1_p02_c01_r10,manual-review
啊,,啊,cs1_p02_c02_r10,
死,,死,cs1_p02_c03_r10,
外,,外,cs1_p02_c04_r10,
體,,體,cs1_p02_c05_r10,
飛,,飛,cs1_p02_c06_r10,
分,,分,cs1_p02_c01_r11,
主,,主,cs1_p02_c02_r11,
覺,,覺,cs1_p02_c03_r11,
住,,住,cs1_p02_c04_r11,
少,,少,cs1_p02_c05_r11,
比,,比,cs1_p02_c06_r11,
空,,空,cs1_p02_c01_r12,
門,,門,cs1_p02_c02_r12,
因,,因,cs1_p02_c03_r12,
等,,等,cs1_p02_c04_r12,
輕,,輕,cs1_p02_c05_r12,
直,,直,cs1_p02_c06_r12,
第,,第,cs1_p02_c01_r13,
脸,脸,脸|臉,cs1_p02_c02_r13,manual-review
候,,候,cs1_p02_c03_r13,
相,,相,cs1_p02_c04_r13,
何,,何,cs1_p02_c05_r13,
